f127.0.0.1:2222,127.0.0.1:1111	119	4
f127.0.0.1:1111,127.0.0.1:2222	119	5	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	124	4
f127.0.0.1:2222,127.0.0.1:1111	124	5	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	124	4
f127.0.0.1:2222,127.0.0.1:1111	124	-1	0	6
f127.0.0.1:1111,127.0.0.1:2222	130	3
f127.0.0.1:2222,127.0.0.1:1111	130	4	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	130	3
f127.0.0.1:1111,127.0.0.1:2222	130	4	25	0	3
f127.0.0.1:1111,127.0.0.1:2222	131	5	25	0	3
f127.0.0.1:1111,127.0.0.1:2222	135	4
f127.0.0.1:2222,127.0.0.1:1111	135	5	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	136	4
f127.0.0.1:1111,127.0.0.1:2222	136	5	27	0	3
f127.0.0.1:1111,127.0.0.1:2222	141	4
f127.0.0.1:2222,127.0.0.1:1111	141	5	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	141	4
f127.0.0.1:1111,127.0.0.1:2222	141	5	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	147	4
f127.0.0.1:2222,127.0.0.1:1111	147	5	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	147	4
f127.0.0.1:1111,127.0.0.1:2222	147	5	28	0	3
f127.0.0.1:1111,127.0.0.1:2222	147	6	28	0	3
f127.0.0.1:1111,127.0.0.1:2222	147	5
f127.0.0.1:1111,127.0.0.1:2222	147	-1	28	0
f127.0.0.1:1111,127.0.0.1:2222	153	4
f127.0.0.1:2222,127.0.0.1:1111	153	5	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	153	4
f127.0.0.1:1111,127.0.0.1:2222	153	5	30	0	3
f127.0.0.1:1111,127.0.0.1:2222	158	4
f127.0.0.1:2222,127.0.0.1:1111	158	5	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	158	4
f127.0.0.1:1111,127.0.0.1:2222	159	5	31	0	3
f127.0.0.1:1111,127.0.0.1:2222	163	4
f127.0.0.1:2222,127.0.0.1:1111	163	5	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	163	4
f127.0.0.1:2222,127.0.0.1:1111	163	-1	0	8
f127.0.0.1:1111,127.0.0.1:2222	169	3
f127.0.0.1:2222,127.0.0.1:1111	169	4	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	169	3
f127.0.0.1:1111,127.0.0.1:2222	169	4	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	175	3
f127.0.0.1:2222,127.0.0.1:1111	175	4	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	175	3
f127.0.0.1:1111,127.0.0.1:2222	175	4	32	0	3
f127.0.0.1:1111,127.0.0.1:2222	175	5	32	0	3
f127.0.0.1:1111,127.0.0.1:2222	181	4
f127.0.0.1:2222,127.0.0.1:1111	181	5	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	181	4
f127.0.0.1:1111,127.0.0.1:2222	181	5	34	0	3
f127.0.0.1:1111,127.0.0.1:2222	186	4
f127.0.0.1:2222,127.0.0.1:1111	186	5	0	8	4
